video_id,username,comment,like_count,published_at,reply_count
FZdQNw1AhZM,@arielaja4331,"selama nafas masih ada dan sehat jasmani  kita harus  mingisi kehidupan kita dengan kemampuan apa yg  kita miliki
dengan kata lain bekerja dan ber'amal.
bukan hanya makan tidur sekalipun deposito nya tidak akan habis dimakan 7 turunan",0,2025-04-13T17:25:55Z,0
FZdQNw1AhZM,@syafarudin9810,Percaya dengan pengkhianat .perdy. tapi sutralah,0,2025-04-13T09:12:08Z,0
FZdQNw1AhZM,@cholielabiby78,"Hargailh
Beliau sekarang pemimpin kita",0,2025-04-12T17:40:42Z,0
FZdQNw1AhZM,@sutar3076,"Ini media Pembenci. Mengapa ingin tenar harus jdi pembenci. 
Yakinlah dulu tempo jdi idola rakyat, kedepan kita liat media yg kerjankanya dilandasi kebencian bukan kenetralan😊",0,2025-04-12T06:02:11Z,0
FZdQNw1AhZM,@ramasulamto8841,Ah media antek asing,0,2025-04-10T17:12:38Z,0
FZdQNw1AhZM,@SuwarnoSuwarno-h4u,Pink. Silk,0,2025-04-09T20:40:23Z,0
FZdQNw1AhZM,@skoeneclean6798,"WONG CILIK. 
KAMI RAKYAT KECIL MUAK MENDENGAR CONGOR 2.YANG NEGATIF TINGKING",0,2025-04-09T04:11:17Z,0
FZdQNw1AhZM,@mocmilitaryoutboundcamp8226,Tempo ini di biayai agen asing yaa.... Utk menghancurkan Indonesia dari dalam ya....koq isu nya selalu mengundang perpecahan bangsa,0,2025-04-09T03:52:22Z,0
FZdQNw1AhZM,@lukilaksita6266,So sweet nya Prabowo.. 😮,0,2025-04-08T17:48:51Z,0
FZdQNw1AhZM,@SunarTo-q6b,Udh nikah wowo sma tedi,1,2025-04-08T17:05:48Z,0
FZdQNw1AhZM,@adeahmadyani6202,"Mayor Tedi kalo di kabinet Jokowi jadi ingat Luhut BP, ya!",0,2025-04-08T06:11:30Z,0
FZdQNw1AhZM,@cetakgolll1073,Bosem liat orang2 ini ga ada bobot ngbrolnya,0,2025-04-07T00:10:56Z,0
FZdQNw1AhZM,@okioktaryono1850,"Omon2 apa !
Untuk Indonesia Raya hebat......SEMANGAT !!! 💪👊⭐🇮🇩⭐💙🌷",0,2025-04-06T22:07:50Z,0
FZdQNw1AhZM,@EL_RODRIGO_ETERNO,Itu manusia besar coba simpan di Saudi Arabia,0,2025-04-06T15:13:00Z,0
FZdQNw1AhZM,@ceritainsajadulu,jurnalis macam apa menertawakan narasumbernya sendiri. Nggak ada etiknya,0,2025-04-06T03:00:37Z,0
FZdQNw1AhZM,@sandhi9660,Bapak Bapak dan Ibu ini sepertinya  orang orang pintar dan  berpendidikan tp memanggil orang yang lebih tua yang punya jabatan di NKRI ini alangakh lebih bagusnya menggunakan  sebutan Bapak .,0,2025-04-05T21:03:03Z,0
FZdQNw1AhZM,@SERDADUTANITV,"Menurut saya tidak hanya 100hari ini jokowi akan cawe2, tetapi sampai selesainya si anak menjabat.,,🤭🤭🤭",0,2025-04-05T06:20:57Z,0
FZdQNw1AhZM,@ekoprihantoro882,Medianya george soros kah ?  Mengerikan. Bahaya. Rakyat sudah cerdas,0,2025-04-04T15:45:43Z,0
FZdQNw1AhZM,@jowokatrok3021,"Aku lihat comet netizen sekalian 1 yg jadi pandangan sy.... 
... Sampai kapanpun presiden indonesia tidak ada akan yang baik karna rakyat dan para politisi dan kaum atas pandangannya jeleknya aja
..... Semua presiden indonesia klw di publik hanya jeleknya sj dibahas jd perdebatan sana sini... Boss lihat kami yg dikampung plosok taunya setelah siapa jd presiden buat usaha sendiri2 berusaha sendiri... Ada bantuan pemerintah sukur gak sukur... Kalian enak pakai baju bermerek kacamata bagus debat sok pintar sana sini dapat uang... Coba jalani hidup kayak kami syukur ssiapapun jd presiden tetp berfikir berusaha sendiri....sini datang ketempat sy supay gaya km km jangan kekotaaan sesekali rasakan hidup dikampung
Klw denger obrolan kalian bagi sy seperti kaya dewa aja kalian ngobrol.... Padahal kalian itu tanya ngomong gk bs jalani bagaimana hidup sesunghuhnya kerasnya gimana jijik aku melihat dan memdengar",1,2025-04-03T20:38:53Z,0
FZdQNw1AhZM,@suhartosudarsonokalimulyo360,"Karena selama ini yang disiplin nya masih tetap tinggi adalah TNI, bravo TNI, dipimpin sipil dua periode korupsi merajalela hukum tdk pasti utang 7.000 triliun, undang undang diacak acak, penuh kedustaan dan penipuan merajalela, ijazah palsu dibiarkan, mantan NAPI Bisa jadi pejabat yang terkenal",0,2025-04-03T06:26:39Z,0
FZdQNw1AhZM,@suhartosudarsonokalimulyo360,Don Yuan,0,2025-04-03T06:17:32Z,0
FZdQNw1AhZM,@VivoRiau-t8z,XᵁXᵁ4ᴰ gak ada lawan dah paling mantep buat main terusss,0,2025-04-02T14:50:19Z,0
FZdQNw1AhZM,@RahmatHidayat-mi2hi,100 hari kehancuran.....tdk ada orang kompetent disamping pak bowo...mirisss,0,2025-04-02T08:44:06Z,0
FZdQNw1AhZM,@goldenvoiceindonesia8771,Sok paling kritis aja muka2 tempo ini..udah dapat tunjangan dri pemerintah juga msh suka fitnah2,0,2025-04-02T07:34:53Z,0
FZdQNw1AhZM,@SamsungA50-p2l,Mantab mbsk fransika   mantab,0,2025-03-31T21:12:01Z,0
FZdQNw1AhZM,@pontikupalopo3051,Ini buktinya Ketua DPR  saja SDH jelaskan UI TN,1,2025-03-30T02:27:26Z,0
FZdQNw1AhZM,@pontikupalopo3051,Inilah grop yg tak mengenal dosa yglangsung lebih tau isipikiran org sblm yg punya pikiran blm ngomong,0,2025-03-30T02:24:40Z,0
FZdQNw1AhZM,@pontikupalopo3051,Inilah media pearaan Asing & PDIP & anggotanya saros yg ingin menjajah lagi ekonomi di Negara ini,0,2025-03-30T02:18:42Z,0
FZdQNw1AhZM,@DandiPeters,Orang2 pintar macam ini iq nya brpa,0,2025-03-29T14:46:21Z,0
FZdQNw1AhZM,@sumadisumadi4328,Dolar memang asik,0,2025-03-29T05:09:34Z,0
FZdQNw1AhZM,@BangpoliChanel,Mereka seumuran sama pak prabowo ya?,0,2025-03-29T00:32:49Z,0
FZdQNw1AhZM,@cillockcube,MEDIA BAYARAN SOROSSS,0,2025-03-28T23:36:55Z,0
FZdQNw1AhZM,@mjmu1707,Hari ini tom lembong bersuara jkw arahkn uang dimasuki dlm rekening kaesang!!!,0,2025-03-28T23:26:44Z,0
FZdQNw1AhZM,@MartaPurba-p1j,"Komunis diberi kepercayaan sama kita,kita dibodohi sama komunis,kerja anak cucu kita jadi kesulutan dapat kerja,jelas kita dibohonginya",0,2025-03-28T14:24:36Z,0
FZdQNw1AhZM,@saaffyy,ya Allah lindungilah orang-orang yang bekerja di Tempo,0,2025-03-28T04:02:48Z,0
FZdQNw1AhZM,@ZheaAfrilza,Tempo gk bermutu,0,2025-03-28T01:53:49Z,0
FZdQNw1AhZM,@misbakhululum1550,👍,0,2025-03-28T01:34:03Z,0
FZdQNw1AhZM,@thiagoleon8616,Secra tdk lasung di beri makan kepda ke kampus2 dan ormas2 biar jgn bnyk kritik dan demo. Bhaya mngintai bangsa dimna organ2 penting sebgai pengaws kebijakn negara. Rakyatmau brharp dgn siap lgi???,0,2025-03-27T11:55:12Z,0
